GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2040.08.26.16,0.1384875007739785
Anhui-Solar_Distributed,2040.08.26.20,0.0
Anhui-Solar_Distributed,2040.09.10.00,0.0
Anhui-Solar_Distributed,2040.09.10.04,0.0
Anhui-Solar_Distributed,2040.09.10.08,0.1060737300294006
Anhui-Solar_Distributed,2040.09.10.12,0.3502352722979867
Anhui-Solar_Distributed,2040.09.10.16,0.0966811221446408
Anhui-Solar_Distributed,2040.09.10.20,0.0
Anhui-Solar_Distributed,2040.10.13.00,0.0
Anhui-Solar_Distributed,2040.10.13.04,0.0
Anhui-Solar_Distributed,2040.10.13.08,0.201249933035295
Anhui-Solar_Distributed,2040.10.13.12,0.4793200476178519
Anhui-Solar_Distributed,2040.10.13.16,0.1059454290268478
Anhui-Solar_Distributed,2040.10.13.20,0.0
Anhui-Solar_Distributed,2040.11.11.00,0.0
Anhui-Solar_Distributed,2040.11.11.04,0.0
Anhui-Solar_Distributed,2040.11.11.08,0.2279646665345893
Anhui-Solar_Distributed,2040.11.11.12,0.5857577342837468
Anhui-Solar_Distributed,2040.11.11.16,0.1424303740182002
Anhui-Solar_Distributed,2040.11.11.20,0.0
Anhui-Solar_Distributed,2040.12.19.00,0.0
Anhui-Solar_Distributed,2040.12.19.04,0.0
Anhui-Solar_Distributed,2040.12.19.08,0.2083732760731922
Anhui-Solar_Distributed,2040.12.19.12,0.5652453348779749
Anhui-Solar_Distributed,2040.12.19.16,0.0773500287971437
Anhui-Solar_Distributed,2040.12.19.20,0.0
Anhui-Solar_Distributed,2045.01.23.00,0.0
Anhui-Solar_Distributed,2045.01.23.04,0.0
Anhui-Solar_Distributed,2045.01.23.08,0.0405118695571275
Anhui-Solar_Distributed,2045.01.23.12,0.1142396634146247
Anhui-Solar_Distributed,2045.01.23.16,0.0166816637098388
Anhui-Solar_Distributed,2045.01.23.20,0.0
Anhui-Solar_Distributed,2045.02.05.00,0.0
Anhui-Solar_Distributed,2045.02.05.04,0.0
Anhui-Solar_Distributed,2045.02.05.08,0.1316637840290411
Anhui-Solar_Distributed,2045.02.05.12,0.5502653706765508
Anhui-Solar_Distributed,2045.02.05.16,0.0776225023305867
Anhui-Solar_Distributed,2045.02.05.20,0.0
Anhui-Solar_Distributed,2045.03.19.00,0.0
Anhui-Solar_Distributed,2045.03.19.04,0.0
Anhui-Solar_Distributed,2045.03.19.08,0.3910511062638995
Anhui-Solar_Distributed,2045.03.19.12,0.7169504278918792
Anhui-Solar_Distributed,2045.03.19.16,0.2731476216061775
Anhui-Solar_Distributed,2045.03.19.20,0.0
Anhui-Solar_Distributed,2045.04.22.00,0.0
Anhui-Solar_Distributed,2045.04.22.04,0.0
