load_zone,TIMEPOINT,zone_demand_mw
Gansu,2025.01.22.16,15560.8194875342
Guangdong,2025.01.22.16,80919.1099649498
Guangxi,2025.01.22.16,24309.0819462772
Guizhou,2025.01.22.16,18492.9509283227
Hainan,2025.01.22.16,3396.4770754992
Hebei,2025.01.22.16,54136.4554868814
Heilongjiang,2025.01.22.16,10969.2116260503
Henan,2025.01.22.16,49515.0861633294
Hubei,2025.01.22.16,29938.922156658
Hunan,2025.01.22.16,26598.5765685028
Jiangsu,2025.01.22.16,87900.606621585
Jiangxi,2025.01.22.16,20639.4254676486
Jilin,2025.01.22.16,11189.1926504833
Liaoning,2025.01.22.16,30108.1601133774
Ningxia,2025.01.22.16,11241.6283393934
Qinghai,2025.01.22.16,8368.38616272819
Shaanxi,2025.01.22.16,23732.6290814912
Shandong,2025.01.22.16,70000.0
Shanghai,2025.01.22.16,22466.5459216029
Shanxi,2025.01.22.16,28311.5086987136
Sichuan,2025.01.22.16,37371.0798833052
Tianjin,2025.01.22.16,11682.4965085264
Tibet,2025.01.22.16,1250.0
West_Inner_Mongolia,2025.01.22.16,31993.7354776114
Xinjiang,2025.01.22.16,34404.8223165935
Yunnan,2025.01.22.16,22655.419804927
Zhejiang,2025.01.22.16,65000.0
Anhui,2025.01.22.17,30797.8762866159
Beijing,2025.01.22.17,18060.4218363446
Chongqing,2025.01.22.17,14383.77694643215
East_Inner_Mongolia,2025.01.22.17,7293.287949642821
Fujian,2025.01.22.17,28842.06089218815
Gansu,2025.01.22.17,15648.488733562925
Guangdong,2025.01.22.17,77024.40053620773
Guangxi,2025.01.22.17,24233.870474037103
Guizhou,2025.01.22.17,19437.3846404428
Hainan,2025.01.22.17,3555.529308707777
Hebei,2025.01.22.17,49771.60713489208
Heilongjiang,2025.01.22.17,10184.8176523328
Henan,2025.01.22.17,49603.76158781008
Hubei,2025.01.22.17,28766.504523669777
Hunan,2025.01.22.17,26008.7263204156
Jiangsu,2025.01.22.17,85757.53978818683
Jiangxi,2025.01.22.17,20913.96099438475
Jilin,2025.01.22.17,10991.84188719395
Liaoning,2025.01.22.17,29950.652758938773
Ningxia,2025.01.22.17,11430.538436485023
Qinghai,2025.01.22.17,8350.763677508912
Shaanxi,2025.01.22.17,23560.994835150075
Shandong,2025.01.22.17,70000.0
Shanghai,2025.01.22.17,22043.297543514174
Shanxi,2025.01.22.17,28630.263091241923
Sichuan,2025.01.22.17,36545.83177115435
Tianjin,2025.01.22.17,11443.727190807247
Tibet,2025.01.22.17,1262.5
West_Inner_Mongolia,2025.01.22.17,32172.306116999127
Xinjiang,2025.01.22.17,34581.151419188725
Yunnan,2025.01.22.17,22881.233552450576
Zhejiang,2025.01.22.17,62013.1897496332
Anhui,2025.01.22.18,31169.8549501264
Beijing,2025.01.22.18,17976.0595199394
Chongqing,2025.01.22.18,14070.9706729537
East_Inner_Mongolia,2025.01.22.18,7367.787253425821
Fujian,2025.01.22.18,27865.3379188151
Gansu,2025.01.22.18,15736.15797959165
Guangdong,2025.01.22.18,73129.69110746565
Guangxi,2025.01.22.18,24158.659001797
Guizhou,2025.01.22.18,20381.8183525629
Hainan,2025.01.22.18,3714.581541916355
Hebei,2025.01.22.18,45406.75878290275
Heilongjiang,2025.01.22.18,9400.4236786153
Henan,2025.01.22.18,49692.43701229075
Hubei,2025.01.22.18,27594.086890681552
Hunan,2025.01.22.18,25418.8760723284
Jiangsu,2025.01.22.18,83614.47295478865
Jiangxi,2025.01.22.18,21188.4965211209
Jilin,2025.01.22.18,10794.4911239046
Liaoning,2025.01.22.18,29793.14540450015
Ningxia,2025.01.22.18,11619.448533576651
Qinghai,2025.01.22.18,8333.141192289635
Shaanxi,2025.01.22.18,23389.36058880895
Shandong,2025.01.22.18,70000.0
Shanghai,2025.01.22.18,21620.04916542545
Shanxi,2025.01.22.18,28949.01748377025
Sichuan,2025.01.22.18,35720.5836590035
